,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
ADFD,ADFD,,,,,,,,,,,,,0,348,0,0,348,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADFD,2012,2012,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198,,,198,,30,,30,,DVA,,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
,ADFD,2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,150,,,150,,30,,30,,DVA,,Collaborative,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,,
AFD,AFD,,,,,,,,,,,,,180,94.8,0,0,274.8,0,191.9,0,191.9,161.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"France,AFD",2014,2014,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,121,29,,,150,,30,,30,,DVA,FW,Partial Administration,Bilateral,Loan,,3200,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,Parallel,,,,,
,"France,AFD",2015,2015,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,59,5.8,,,64.8,,75.9,,75.9,75.9,DVA,FW,Collaborative,Bilateral,Loan,,3700,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,Parallel,,,,,
,"France,AFD",2015,2015,8299,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,,40,,40,40,DVA,FW,Partial Administration,Bilateral,Loan,,3700,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,Joint,,,,,
,"France,AFD",2015,2015,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,60,,,60,,46,,46,46,DVA,FW,Collaborative,Bilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,Parallel,,,,,
AIF,AIF,,,,,,,,,,,,,1451.7,137,0,0,1588.7,0,320,0,320,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIF,2013,2013,8276,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,224,,,,224,,25,,25,,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,12/03/2013,,,,,Sovereign,Joint,,,,first approval from the ASEAN Infrastructure Fund,
,AIF,2014,2014,8280,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,80,,,,80,,40,,40,,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,Parallel,,,,,
,AIF,2014,2014,8286,3161/8286,46391-001,,,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,172.7,,,,172.7,,100,,100,,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,09/23/2014,,,,,Sovereign,Joint,,,,,
,AIF,2015,2015,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400,,,,400,,100,,100,100,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,Joint,,,,,
,AIF,2015,2015,8294,3310/8294,46422-003,,,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,,100,,0,100,,20,,20,20,DVA,PS,Full Administration,Multilateral,Loan,,3700,Transport,3701,Road Transport (Non-Urban),,,,No,,11/10/2015,,,,Approved,Sovereign,Joint,,,,B-Loan,
,AIF,2015,2015,8296,3315/8296,46443-003,,,LAO,Second Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,11/13/2015,,37,,,37,,10,,10,10,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3822, 3815, 3818, 3812",Renovation and Protection of Cultural Heritage,,,,No,,11/13/2015,,,,Approved,Sovereign,Joint,,,,,
,AIF,2015,2015,8297,3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,575,,,,575,,25,,25,25,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,12/02/2015,,,,Approved,Sovereign,Joint,,,,,
AITF,AITF,,,,,,,,,,,,,0,200,814,0,200,370.66,0,0,370.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
