proj_no,project_title,approval_number,Type,status
39099-013,TSUNAMI EMERGENCY ASSISTANCE,0001,GRNT,FINANCIALLY CLOSED
39127-012,EARTHQUAKE AND TSUNAMI EMERGENCY SUPPORT,0002,GRNT,FINANCIALLY CLOSED
34152-013,COMMUNITY WATER SERVICES AND HEALTH,0003,GRNT,FINANCIALLY CLOSED
39114-013,TSUNAMI EMERGENCY ASSISTANCE (SECTOR),0005,GRNT,FINANCIALLY CLOSED
39144-013,TSUNAMI AFFECTED AREAS REBUILDING PROJECT (ATF),0006,GRNT,FINANCIALLY CLOSED
36296-013,SECOND URBAN PRIMARY HEALTH CARE (SIDA),0009,GRNT,FINANCIALLY CLOSED
36296-013,SECOND URBAN PRIMARY HEALTH CARE (DFID),0010,GRNT,FINANCIALLY CLOSED
39144-013,TSUNAMI AFFECTED AREAS REBUILDING PROJECT (EC),0011,GRNT,FINANCIALLY CLOSED
36601-013,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO,0013,GRNT,FINANCIALLY CLOSED
39625-012,CONTRIBUTION TO THE MULTIDONOR TRUST FUND FOR THE,0014,GRNT,FINANCIALLY CLOSED
35242-013,GAS TRANSMISSION & DEVELOPMENT,0019,GRNT,FINANCIALLY CLOSED
35144-013,STATE AUDIT REFORM SECTOR DEVELOPMENT,0024,GRNT,FINANCIALLY CLOSED
39631-013,EARTHQUAKE EMERGENCY ASSISTANCE,0029,GRNT,FINANCIALLY CLOSED
34285-013,PART ADMIN:EDUCATION SCTR II(AUSAID),0031,GRNT,FINANCIALLY CLOSED
34285-013,PART ADMIN:EDUCATION SECTOR PROJECT II (NZAID),0032,GRNT,FINANCIALLY CLOSED
39603-012,TONLE SAP SUSTAINABLE LIVELIHOODS (FINLAND),0035,GRNT,FINANCIALLY CLOSED
34418-013,SW AREA INTEGRATED WATER RESOURCES PLANNING & MGT,0036,GRNT,FINANCIALLY CLOSED
39631-013,EARTHQUAKE EMERGENCY ASSISTANCE (EC),0037,GRNT,FINANCIALLY CLOSED
38625-013,EMERGENCY FLOOD DAMAGE REHABILITATION (NETHERLANDS,0038,GRNT,FINANCIALLY CLOSED
38625-013,EMERGENCY FLOOD DAMAGE REHABILITATION (SWEDEN),0039,GRNT,FINANCIALLY CLOSED
39033-022,HIV/AIDS PREVENTION AND CONTROL IN RURAL DEVELOPME,0042,GRNT,ACTIVE
34513-013,POST-CONFLICT EMERGENCY REHABILITATION (AUSAID),0043,GRNT,FINANCIALLY CLOSED
34513-013,POST-CONFLICT EMERGENCY REHABILITATION (NZAID),0044,GRNT,FINANCIALLY CLOSED
