,type,approval number,country,year,title,status
0,GRNT,0001,MLD,2005,TSUNAMI EMERGENCY ASSISTANCE,FINANCIALLY CLOSED
1,GRNT,0002,INO,2005,EARTHQUAKE AND TSUNAMI EMERGENCY SUPPORT,FINANCIALLY CLOSED
2,GRNT,0003,INO,2005,COMMUNITY WATER SERVICES AND HEALTH,FINANCIALLY CLOSED
3,GRNT,0005,IND,2005,TSUNAMI EMERGENCY ASSISTANCE (SECTOR),FINANCIALLY CLOSED
4,GRNT,0006,SRI,2005,TSUNAMI AFFECTED AREAS REBUILDING PROJECT (ATF),FINANCIALLY CLOSED
5,GRNT,0009,BAN,2005,SECOND URBAN PRIMARY HEALTH CARE (SIDA),FINANCIALLY CLOSED
6,GRNT,0010,BAN,2005,SECOND URBAN PRIMARY HEALTH CARE (DFID),FINANCIALLY CLOSED
7,GRNT,0011,SRI,2005,TSUNAMI AFFECTED AREAS REBUILDING PROJECT (EC),FINANCIALLY CLOSED
8,GRNT,0013,SRI,2005,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO,FINANCIALLY CLOSED
9,GRNT,0014,INO,2005,CONTRIBUTION TO THE MULTIDONOR TRUST FUND FOR THE,FINANCIALLY CLOSED
10,GRNT,0019,BAN,2005,GAS TRANSMISSION & DEVELOPMENT,FINANCIALLY CLOSED
11,GRNT,0024,INO,2004,STATE AUDIT REFORM SECTOR DEVELOPMENT,FINANCIALLY CLOSED
12,GRNT,0029,PAK,2005,EARTHQUAKE EMERGENCY ASSISTANCE,FINANCIALLY CLOSED
13,GRNT,0031,SAM,2005,PART ADMIN:EDUCATION SCTR II(AUSAID),FINANCIALLY CLOSED
14,GRNT,0032,SAM,2005,PART ADMIN:EDUCATION SECTOR PROJECT II (NZAID),FINANCIALLY CLOSED
15,GRNT,0035,CAM,2005,TONLE SAP SUSTAINABLE LIVELIHOODS (FINLAND),FINANCIALLY CLOSED
16,GRNT,0036,BAN,2005,SW AREA INTEGRATED WATER RESOURCES PLANNING & MGT,ACTIVE
17,GRNT,0037,PAK,2005,EARTHQUAKE EMERGENCY ASSISTANCE (EC),FINANCIALLY CLOSED
18,GRNT,0038,BAN,2005,EMERGENCY FLOOD DAMAGE REHABILITATION (NETHERLANDS,FINANCIALLY CLOSED
19,GRNT,0039,BAN,2005,EMERGENCY FLOOD DAMAGE REHABILITATION (SWEDEN),FINANCIALLY CLOSED
20,GRNT,0042,PNG,2006,HIV/AIDS PREVENTION AND CONTROL IN RURAL DEVELOPME,ACTIVE
21,GRNT,0043,SOL,2006,POST-CONFLICT EMERGENCY REHABILITATION (AUSAID),FINANCIALLY CLOSED
22,GRNT,0044,SOL,2006,POST-CONFLICT EMERGENCY REHABILITATION (NZAID),FINANCIALLY CLOSED
23,GRNT,0045,SRI,2006,TSUNAMI AFFECTED AREAS REBUILDING (NETHERLANDS),FINANCIALLY CLOSED
24,GRNT,0047,INO,2006,DECENTRALIZED BASIC EDUCATION,FINANCIALLY CLOSED
25,GRNT,0049,SOL,2006,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS),FINANCIALLY CLOSED
26,GRNT,0050,SOL,2006,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ),FINANCIALLY CLOSED
27,GRNT,0052,AFG,2006,WESTERN BASINS WATER RESOURCES MANAGEMENT (CANADA),ACTIVE
28,GRNT,0053,BAN,2006,SECOND RURAL INFRASTRUCTURE IMPROVEMENT,FINANCIALLY CLOSED
29,GRNT,0056,LAO,2006,NORTHERN REGION SUSTAINABLE LIVELIHOODS THRU LIVES,FINANCIALLY CLOSED
30,GRNT,0060,VIE,2006,FORESTS FOR LIVELIHOOD IMPROVEMENT IN THE CENTRAL,FINANCIALLY CLOSED
31,GRNT,0062,SRI,2006,CONFLICT AFFECTED AREA REHABILITATION,FINANCIALLY CLOSED
32,GRNT,0064,INO,2006,INFRASTRUCTURE PROJECT DEVELOPMENT FACILITY,FINANCIALLY CLOSED
33,GRNT,0070,MON,2006,INSTITUTIONAL STRENGTHENING FOR CUSTOMS MODERNIZAT,FINANCIALLY CLOSED
34,GRNT,0071,PHI,2007,INTEGRATED COASTAL RESOURCES MANAGEMENT,ACTIVE
35,GRNT,0075,SRI,2007,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P,FINANCIALLY CLOSED
36,GRNT,0076,AFG,2007,RD EMPLYMNT PJT FOR STTLMNT & INTGRTN OF RETURNING,FINANCIALLY CLOSED
37,GRNT,0078,SOL,2007,EMERGENCY ASSISTANCE PROJECT,FINANCIALLY CLOSED
38,GRNT,0080,UZB,2008,LAND IMPROVEMENT PROJECT  (GEF),ACTIVE
39,GRNT,0082,LAO,2007,NORTHERN GREATER MEKONG SUBREGION TRANSPORT NEWTWO,ACTIVE
40,GRNT,0093,NEP,2007,PART ADMIN(UK PORTION ONLY)RURAL RECNSTCTN&REHAB S,FINANCIALLY CLOSED
41,GRNT,0095,VIE,2007,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM),ACTIVE
42,GRNT,0096,CAM,2007,GMS SOUTHERN COASTAL CORRIDOR PROJECT (CAMBODIA),ACTIVE
