Partner,Year,Approval Numbers CoFin,Proj No,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF,Total,Grants,Loans,Commercial,Total CF
ADFD,,,,,,,,,0,0,0,0,0,0,60,0,60
ADFD,2012,2949/8263,40540-014,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0,,30,,30
ADFD,2013,2990/2991,43281-013,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0,,30,,30
AFD,,,,,,,,,0,0,0,0,0,0,191.9,0,191.9
"France,AFD",2014,3146/3147/0084/8290,47037-004,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0,,30,,30
"France,AFD",2015,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,,40,,40
"France,AFD",2015,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0,,46,,46
"France,AFD",2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,75.9,,75.9
AIF,,,,,,,,,0,0,0,0,0,0,320,0,320
AIF,2013,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,,,,,0,,25,,25
AIF,2014,3123/8280,47315,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0,,40,,40
AIF,2014,3161/8286,46391-001,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,,,,,0,,100,,100
AIF,2015,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0,,100,,100
AIF,2015,3310/8294,46422-003,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,,,,,0,,20,,20
AIF,2015,3315/8296,46443-003,LAO,Second Greater Mekong Subregion Corridors Towns Development,SERD,SEUW,11/13/2015,,,,,0,,10,,10
