approval_number,proj_no,coms_proj_no,coms_project_title
0007,36601-013,not in CoMs,not in CoMs
0013,36601-013,36601-013,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO
0036,34418-023,34418-013,SW AREA INTEGRATED WATER RESOURCES PLANNING & MGT
0049,39581-012,39581-012,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
0050,39581-012,39581-012,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
0075,36601-013,34442-032,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
0084,47037-004,not in CoMs,not in CoMs
0095,36353-013,36353-013,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM)
0116,42186-014,not in CoMs,not in CoMs
0126,39370-023,not in CoMs,not in CoMs
0127,40263-033,40263-022,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
0159,42382-013,42382-013,LIAONING SMALL CITIES&TOWNS DEVT DEMONSTRATION SEC
0187,37269-023,37269-023,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA PROJ
0193,36601-013,36601-013,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
0226,44304-014,44304-013,MICROFINANCE EXPANSION PROJECT
0231,41505-013,not in CoMs,not in CoMs
0232,41507-013,not in CoMs,not in CoMs
0244,42095-033,not in CoMs,not in CoMs
0246,44065-013,44065-013,CONFLICT-AFFECTED REGION EMERGENCY PROJECT
0253,40517-013,40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
0254,40517-013,40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
0259,41509-013,41509-013,RURAL PRIMARY HEALTH SERVICES DELIVERY PROJECT
0263,43072-013,43072-013,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT
0267,38426-023,not in CoMs,not in CoMs
0273,42392-013,42392-013,PART ADMIN-INTERISLAND SHIPPING SUPPORT PROJECT
0277,38097-013,38097-012,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
0285,46009-003,46009-001,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT
0287,42169-013,42169-013,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT
0288,41504-024,41504-024,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES (NEW
0289,35174-082,35174-082,SCHOOL SECTOR PROGRAM
0290,43566-013,not in CoMs,not in CoMs
0291,42095-033,42095-032,MFF:ROAD NETWORK DEVELOPMENT INVESTMENT PROGRAM-TR
0292,40263-033,40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
0293,40263-033,40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
0298,42177-013,42177-013,URBAN PRIMARY HEALTH CARE SERVICES DELIVERY PROJEC
0301,45432-002,not in CoMs,not in CoMs
0302,42186-014,42186-014,EMERGENCY FOOD ASSISTANCE PROJECT-ADDITIONAL FINAN
0303,43576-013,43576-013,CLEAN ENERGY AND NETWORK EFFICIENCY IMPROVEMENT PR
0310,45084-002,45084-002,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
0311,40685-023,40685-013,JINGSU YANCHENG WETLANDS PROTECTION PROJECT
0315,39256-024,39256-024,MFF:URBAN TRANSPORT DEVELOPMENT INVESTMENT PROGRAM
0320,42378-015,42378-015,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM
0323,39298-013,39298-013,CITY REGION DEVELOPMENT PROJECT-ADDITIONAL FINANCI
0326,43207-013,43207-013,MARKET TRANSFORMATION THRU INTRO OF ENERGY-EFFICIE
0329,43319-043,43319-043,GMS CORRIDOR TOWNS DEVELOPMENT PROJECT
0330,40190-013,40190-013,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATI
0331,44037-014,44037-014,SHAANXI WEINAN LUYANG INTEGRATED SALINE LAND MANAG
0334,43319-033,43319-033,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
0335,43319-033,43319-033,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
0336,45303-001,45303-001,RURAL ENERGY PROJECT
0337,36353-013,41496-014,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
0342,43524-014,43524-014,PART ADMIN: KATHMANDU VALLEY WASTEWASTER MANAGEMEN
0343,42099-013,42099-013,POLYTECHNIC EDUCATION DEVELOPMENT PROJECT
0347,43452-023,not in CoMs,not in CoMs
0348,43452-023,43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT
0349,44321-013,44321-013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
0350,44321-013,44321-013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
0352,45354-002,45354-002,BUILDING CLIMATE RESILIENCE IN THE PYANJ RIVER BAS
0353,40255-033,40255-033,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT
0354,41074-013,41074-013,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT
0357,44214-024,44214-024,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNT
0358,44214-024,44214-024,PART ADMIN:BLDG CLIMATE RESILIENCE OF WATERSHEDS I
0363,45301-002,45301-002,WATER SUPPLY AND SANITATION_SECTOR PROJECT
0364,44012-013,44012-013,HEBEI ENERGY EFFICIENCY IMPROVEMENT&EMISSION REDUC
0365,46265-001,46265-001,ENERGY EFFICIENCY FOR HO CHI MINH CITY WATER SUPPL
0366,45169-001,not in CoMs,not in CoMs
