proj_no,approval_number,partner,year,approval_numbers_cofin,loan_grant_title,coms_proj_no,coms_proj_title,coms_project_title
36353-013,2372,Australia,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),not in CoMs,,not in CoMs
36353-013,0095,Australia,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),36353-013,,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM)
36353-013,2988,Australia,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),not in CoMs,,not in CoMs
36353-013,0337,Australia,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),41496-014,,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
36601-013,2168,Finland,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
36601-013,0007,Finland,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
36601-013,0013,Finland,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO
36601-013,0075,Finland,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),34442-032,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
36601-013,0193,Finland,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
36353-013,2372,Korea,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),not in CoMs,,not in CoMs
36353-013,0095,Korea,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),36353-013,,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM)
36353-013,2988,Korea,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),not in CoMs,,not in CoMs
36353-013,0337,Korea,2007,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),41496-014,,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
36601-013,2168,Norway,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
36601-013,0007,Norway,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
