,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
0,ADFD,2012,2949/8263,2949,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
1,ADFD,2012,2949/8263,8263,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
2,ADFD,2013,2990/2991,2990,43281-013,Tanahu Hydropower
3,ADFD,2013,2990/2991,2991,43281-013,Tanahu Hydropower
4,"France,AFD",2014,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
5,"France,AFD",2014,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
6,"France,AFD",2014,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
7,"France,AFD",2014,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
8,"France,AFD",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
9,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
10,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
11,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
12,"France,AFD",2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
13,"France,AFD",2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
14,"France,AFD",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
15,"France,AFD",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
16,"France,AFD",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
17,AIF,2013,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
18,AIF,2013,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
21,AIF,2014,3161/8286,3161,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
22,AIF,2014,3161/8286,8286,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
23,AIF,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
24,AIF,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
25,AIF,2015,3310/8294,3310,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
26,AIF,2015,3310/8294,8294,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
27,AIF,2015,3315/8296,3315,46443-003,Second Greater Mekong Subregion Corridors Towns Development
28,AIF,2015,3315/8296,8296,46443-003,Second Greater Mekong Subregion Corridors Towns Development
29,AIF,2015,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
30,AIF,2015,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
32,AITF,2012,0244/0291,0244,42095-033,Road Network Development Investment Program - Tranche 2
33,AITF,2012,0244/0291,0291,42095-033,Road Network Development Investment Program - Tranche 2
34,AITF,2012,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program - Tranche 2
35,AITF,2013,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary)
36,AITF,2013,0374/0375,0374,46392-001,North-South Power Transmission Enhancement
37,AITF,2013,0374/0375,0375,46392-001,North-South Power Transmission Enhancement
38,AITF,2014,0411/0412,0411,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
39,AITF,2014,0411/0412,0412,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
40,AITF,2015,0126/0437,0126,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
41,AITF,2015,0126/0437,0437,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
43,AITF,2015,0464/0465,0464,47282-003,Energy Supply Improvement ProgramﾗTranche 1
44,AITF,2015,0464/0465,0465,47282-003,Energy Supply Improvement ProgramﾗTranche 1
45,AsIF,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
46,AsIF,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
47,AsIF,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
48,AsIF,2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
49,AsIF,2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
81,Australia,2006,0049/50,0049,39581-012,Road Improvement (Sector)
82,Australia,2006,0049/50,0050,39581-012,Road Improvement (Sector)
94,Australia,2007,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion
95,Australia,2007,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion
96,Australia,2007,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion
97,Australia,2007,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion
100,Australia,2008,0049/50,0049,39581-012,Road Improvement (Sector) (Supplementary)
101,Australia,2008,0049/50,0050,39581-012,Road Improvement (Sector) (Supplementary)
104,Australia,2009,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
105,Australia,2009,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
106,Australia,2009,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
107,Australia,2009,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
114,Australia,2009,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
115,Australia,2009,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
116,Australia,2009,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
117,Australia,2009,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
118,Australia,2009,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
119,Australia,2009,2288/2602/0187,2288,37269-023,Greater Mekong Subregion
120,Australia,2009,2288/2602/0187,2602,37269-023,Greater Mekong Subregion
121,Australia,2009,2288/2602/0187,0187,37269-023,Greater Mekong Subregion
132,Australia,2010,2686/0226/0425,2686,44304-014,Microfinance Expansion
