,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
3,ADFD,ADFD,2012,2012.0,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0.0,,30.0,,30.0,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43.",2949
15,AFD,"France,AFD",2015,2015.0,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.0,,46.0,,46.0,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
18,AFD,"France,AFD",2015,2015.0,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.0,,75.9,,75.9,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
74,AsIF,AsIF,2015,2015.0,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0.0,6.9,,,6.9,DVA,PS,Collaborative,Multilateral,Grant,,3700.0,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,"Asian Investment Facility of the European Union, this grant managed by EIB; ﾀ5million",,3250
77,AsIF,AsIF,2015,2015.0,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.0,6.8,,,6.8,DVA,PS,Collaborative,Multilateral,Grant,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
121,Australia,Australia,2010,2010.0,,243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.0,30.0,,,30.0,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,,243
148,Australia,Australia,2015,2015.0,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.0,1.1,,,1.1,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,09/30/2015,,,,,Sovereign,,,,,,442
154,Australia,"Australia,Australia",2015,2015.0,,458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.0,1.5,,,1.5,DVA,PS,Collaborative,Bilateral,Grant,,4000.0,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,458
259,Australia,Australia,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,35.0,,,35.0,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
284,Australia,Australia,2014,2014.0,3123 (CG),3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0.0,48.83,,,48.83,DVA,PS,Collaborative,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,,,,,,3123
