,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
2,Asian Development Bank,"ADFD,OFID",2012,2012.0,,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198.0,,,198.0,,,,,,,,,,,3700.0,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,with piggy back TA8221,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43.",2949
9,Asian Development Bank,AFD,2015,2015.0,,3151/401-2/466-7/8299-300,42334-017,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0.0,,,,,,,,,,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,"Related to LN3151, GR0401 and GR0402 all in 2014",,3151
12,Asian Development Bank,"AIF,AFD,KfW,World Bank",2015,2015.0,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400.0,,,,400.0,,,,,,,,,,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,,,,,,,3303
14,Asian Development Bank,"AsIF,AFD,UFPF-UCCRTF",2015,2015.0,455,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,60.0,,,60.0,,,,,,,,,,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812","Urban Water Supply,Urban Sanitation,Urban Slam Development,Other Urban Services",,,,,,,,,,,,,,,,,3316
17,Asian Development Bank,"CTF,EIB,AFD,DGT",2015,2015.0,8302,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,59.0,5.8,,,64.8,,,,,,,,,,,3700.0,Transport,,,,,,,,,,,,,,,,,,,3363
20,Asian Development Bank,"France,AFD",2016,2016.0,,8305,46064-003,,,CAM,Technical and Vocational Education and Training Sector Development ProgramﾗAdditional Financing,SERD,SEHS,02/29/2016,,,,,0.0,,,,,,,,,,,3100.0,Education,"3105, 3113","Technical and Vocational Education and Training,Education Sector Development",,,,,,,,,,,,,,,,,8305
23,Asian Development Bank,AIF,2013,2013.0,8276,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,224.0,,,,224.0,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,,3083
26,Asian Development Bank,"Australia,AIF",2014,2014.0,,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,80.0,,,,80.0,,,,,,,,,,,3800.0,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,,,3123
29,Asian Development Bank,AIF,2014,2014.0,,3161/8286,46391-001,,,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,172.7,,,,172.7,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,,3161
32,Asian Development Bank,"AIF,AFD,KfW,World Bank",2015,2015.0,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400.0,,,,400.0,,,,,,,,,,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,,,,,,,3303
