,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
7,AFD,"France,AFD",2014,2014.0,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0.0,,30.0,,30.0,DVA,FW,Partial Administration,Bilateral,Loan,,3200.0,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,,,,,,3146
10,AFD,"France,AFD",2015,2015.0,8299,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0.0,,40.0,,40.0,DVA,FW,Partial Administration,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,,,,,,3151
217,Australia,Australia,2005,2005.0,31,2220/0031/0032,34285,,,SAM,Education Sector II,PARD,PAHQ,12/16/2005,,,,,0.0,8.6,,,8.6,DVA,PS,Partial Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,12/16/2005,08/14/2006,,,,Sovereign,,,,ADB admin grants (partial admin),,2220
724,EDB,EDB,2014,2014.0,,3212/0419/8306,46348-003,,,KGZ,Toktogul Rehabilitation Phase 2,CWRD,CWEN,12/02/2014,,,,,0.0,,100.0,,100.0,DVA,PS,Partial Administration,Multilateral,Loan,,3200.0,Energy,,"Large Hydropower Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/02/2014,,,,,Sovereign,,,,Code form processed on 04 April 2016,,3212
949,AFD,France,2006,2006.0,8227,2302/8227,39175,,,VIE,GMS Kunming-Hai Phong Transport Corridor: Yen Vien-Lao Cai Railway Upgrading,SERD,SEID,12/19/2006,,,,,0.0,,40.0,,40.0,DVA,,Partial Administration,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/19/2006,09/25/2007,,,,Sovereign,,,,Cofinancing agreement betweent ADB and AFD (ﾀ 32m) to jointly finance the civil works and consulting services was signed on 25May07. 8227,,2302
953,AFD,France,2007,2007.0,103,2357/0103/8236,37097,,,VIE,Integrated Rural Development Sector Project in the Central Provinces,SERD,SEAE,10/15/2007,,,,,0.0,1.3,,,1.3,DVA,,Partial Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/15/2007,05/06/2008,,,,Sovereign,,,,partial admin based on advise from Central Service Unit  2-Mar-2012,,2357
954,AFD,France,2007,2007.0,8236,2357/0103/8236,37097,,,VIE,Integrated Rural Development Sector Project in the Central Provinces,SERD,SEAE,10/15/2007,,,,,0.0,,52.0,,52.0,DVA,PS,Partial Administration,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/15/2007,05/06/2008,,,,Sovereign,,,,Cofinancing Agreement signed.  Multisector to Agriculture,,2357
957,AFD,France,2009,2009.0,8246,2552/2553/8246,42051-023,,,PAK,Energy Efficiency Investment Program - Tranche I,CWRD,CWEN,09/22/2009,,,,,0.0,,25.0,,25.0,DVA,PS,Partial Administration,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,09/22/2009,08/30/2010,,,,Sovereign,,,,ADB Admin AFD loan euro 20m ($25m) Tranche 1 - National Compact Flourescent Lamp Project,"DR 2009. short para, pp 17.",2552
963,AFD,France,2010,2010.0,8245,2619/0198/8245,40061,,,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,,,,,0.0,,50.0,,50.0,DVA,,Partial Administration,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,03/22/2010,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 11. short para on clean energy, pp 23.  DR 2011. para on FCA, pp 10.",2619
977,AFD,France,2012,2012.0,8270,2862-64/0287/8270,42169-013,,,BAN,Greater Dhaka Sustainable Urban Transport,SARD,SAUW,04/17/2012,,,,,0.0,,45.0,,45.0,DVA,PS,Partial Administration,Bilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,No,,04/17/2012,,,,,Sovereign,,,,loan cof coding form approved 15 April 2013,"DR 2012. para on 2012 Highlights on FCAs, pp 30.",2862-64
