Product Approval Number,Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
8276,3083,AIF,AIF,2013,2013,,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,,,,,0,,25,,25,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,12/03/2013,,,,,Sovereign,,,,first approval from the ASEAN Infrastructure Fund,
8280,3123,AIF,AIF,2014,2014,,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0,,40,,40,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,,,,,
8286,3161,AIF,AIF,2014,2014,,3161/8286,46391-001,,,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,,,,,0,,100,,100,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,09/23/2014,,,,,Sovereign,,,,,
8293,3303,AIF,AIF,2015,2015,,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0,,100,,100,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,
8294,3310,AIF,AIF,2015,2015,,3310/8294,46422-003,,,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,,,,,0,,20,,20,DVA,PS,Full Administration,Multilateral,Loan,,3700,Transport,3701,Road Transport (Non-Urban),,,,No,,11/10/2015,,,,Approved,Sovereign,,,,B-Loan,
8296,3315,AIF,AIF,2015,2015,,3315/8296,46443-003,,,LAO,Second Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,11/13/2015,,,,,0,,10,,10,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3822, 3815, 3818, 3812",Renovation and Protection of Cultural Heritage,,,,No,,11/13/2015,,,,Approved,Sovereign,,,,,
8297,3339,AIF,AIF,2015,2015,,3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,,,,,0,,25,,25,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,12/02/2015,,,,Approved,Sovereign,,,,,
437,126,AITF,AITF,2015,2015,,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,,,0,11,,,11,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Livestock,,,,Yes,,09/25/2015,,,,,Sovereign,,,,,
291,244,AITF,AITF,2012,2012,,0244/0291,42095-033,MFF0025,,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,,,,,0,30,,,30,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,05/29/2012,,,,,Sovereign,,,,"RRP Financial table mentions $30 million excluding admin charges of $600,000","DR 2012. line in CWRD section on New Joint Initiatives, pp 10; para for AITF pp49-50."
262,0261-0262,AITF,AITF,2011,2011,,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,,,,,0,33,,,33,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,10/12/2011,10/31/2011,,,,Sovereign,,,,Afghanistan Infrastructure Trust Fund,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
262,0261-0262,AITF,AITF,2015,2015,,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
