,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
9,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
10,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
11,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
31,AITF,2011,0261-0262,0261-0262,44482,Transport Network Development Investment Program - Tranche 1
34,AITF,2012,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program - Tranche 2
35,AITF,2013,0327-0328,0327-0328,44482-023,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary)
42,AITF,2015,0261-0262,0261-0262,44482,Transport Network Development Investment Program - Tranche 1 (Supplementary)
68,Australia,1999,1697/3398(L),3398(L),28338,Primary Roads Restoration
71,Australia,2000,1768/3520(L),3520(L),32472,Microfinance and Employment
74,Australia,2001,1706/3632(L),3632(L),29637,Employment-Oriented Skills Development
76,Australia,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
84,Australia,2006,1823/G0043/G0044,G0043,34513,Post-Conflict Emergency Rehabilitation (Supplementary)
85,Australia,2006,1823/G0043/G0044,G0044,34513,Post-Conflict Emergency Rehabilitation (Supplementary)
148,Australia,2011,2832/G0275-76,G0275-76,42391,Port Vila Urban Development
150,Australia,2011,2832/G0275-76,G0275-76,42391,Port Vila Urban Development
151,Australia,2011,G0264-0265,G0264-0265,4239402,Nuku'alofa Urban Sector Development
152,Australia,2011,G0272/0289,G0272,35174-082,School Sector Program
168,Australia,2012,G0272/0289,G0272,35174-082,School Sector Program (Supplementary)
192,"Australia,Australia",2012,2936-2937/G0316-0317,2936-2937,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
193,"Australia,Australia",2012,2936-2937/G0316-0317,G0316-0317,40190-023,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
210,"Australia,Australia",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
211,"Australia,Australia",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
212,"Australia,Australia",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
213,Belgium,1973,0168-169,0168-169,,Mangla Hydropower
216,Canada,1976,0279-0280,0279-0280,,Port Qasim
229,Canada,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
231,Canada,2004,2101/4559 (L),4559 (L),26061,Teaching Quality Improvement for Secondary Education
250,Canada,2009,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Supplementary)
272,CEF-CEFPF,2010,2628/EI7311/0201,EI7311,,Solar Power
299,CTF,2012,2945/7376/CF8260,CF8260,45924-01,Theppana Wind Power
338,Denmark,2001,1835/3712(L),3712(L),33165,Yellow River Flood Management Sector
340,Denmark,2002,1840/3923(L),3923(L),32236,Teacher Education
341,Denmark,2002,19173927(L),19173927(L),34022,Secondary Education Support
343,Denmark,2002,1917/3927(L),3927(L),34022,Secondary Education Support
354,Denmark,2011,G0272/0289,G0272,35174-082,School Sector Program
366,EBRD,2000,1774-1775,1774-1775,,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components)
399,EC,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
428,EC,2011,G0272/0289,G0272,35174-082,School Sector Program
520,Finland,2011,G0272/0289,G0272,35174-082,School Sector Program
538,France,2002,1855/3892(L),3892(L),30292-01,Second Red River Basin Sector
582,France,2010,2710-2711,2710-2711,37378,Jaffna and Kilinochchi Water Supply and Sanitation
588,France,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
612,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
613,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
614,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
623,FTI,2011,G0272/0289,G0272,35174-082,School Sector Program
644,GEF,1998,1643/3158(L)/3300(L),3158(L),30032,Sundarbans Biodiversity Conservation
645,GEF,1998,1643/3158(L)/3300(L),3300(L),30032,Sundarbans Biodiversity Conservation
647,GEF,2001,1767/3519(L)/3778(L),3519(L),31381,Protected Area Management and Wildlife Conservations
648,GEF,2001,1767/3519(L)/3778(L),3778(L),31381,Protected Area Management and Wildlife Conservations
650,GEF,2002,1924/3945(L),3945(L),33443,Efficient Utilization of Agricultural Wastes
652,GEF,2004,4357(L),4357(L),36445-022,Capacity Building to Combat Land Degradation
654,GEF,2005,2157/4571(L),4571(L),35289,Sanjiang Plain Wetlands Protection
657,GEF,2008,2245-2246/0080,2245-2246,37536,Land Improvement
678,GEF,2011,2744/G0250,G0250,40684,Forestry and Ecological Restoration in Three Northwest Provinces
681,GEF,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
688,GEF,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
712,Germany,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2063,2063
743,Germany,1994,1300/2194(L),2194(L),,Telecommunications
751,Germany,2001,1706/3632(L),3632(L),29637,Employment-Oriented Skills Development
754,Germany,2001,1846/3742(L),3742(L),34442,North East Community Restoration and Development
756,Germany,2001,1884-1885,1884-1885,,West Zone Power System Development
806,HIV/AIDS Cooperation Fund,2007,2398-2399/0102,2398-2399,40037,Lae Port Development
842,IFAD,2009,0144-0145,0144-0145,,Sustainable Natural Resource Management and Productivity Enhancement
862,IFAD,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
895,IsDB,2005,2205-2206,2205-2206,35457,East-West Highway Improvement
904,IsDB,2010,2701-2702,2701-2702,35049,Padma Multipurpose Bridge
925,Japan,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2009,2009
926,Japan,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2074-2075,2074-2075
930,Japan,1976,0279-0280,0279-0280,,Port Qasim
951,Japan,1988,9999INO2,9999INO2,, Second Untied Loan (17 Bank Projects)  
959,Japan,1989,9999INO3,9999INO3,,Third Untied Loan (11 Bank Projects)
973,Japan,1992,9999INO,9999INO,,Fourth Untied Loan (5 ADB Projects)
1001,Japan,1997,1562-1563,1562-1563,,Fisheries Resource Management
1011,Japan,1998,1663-1665,1663-1665,30480,Metro Manila Air Quality Improvement Sector Dev. Program
1013,Japan,1999,1675-1676,1675-1676,32516,Health and Nutrition Sector Development Program (Policy Loan)
1016,Japan,1999,1727-1728,1727-1728,,GMS
1017,Japan,1999,1727-1728,1727-1728,,GMS
1037,Japan,2002,1913-1914,1913-1914,34023,Plantation Development
1063,Japan,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
1171,Japan,2008,2463-2464/0119/0141,2463-2464,37399,Green Power Development
1220,Japan,2010,2701-2702,2701-2702,35049,Padma Multipurpose Bridge
1381,NDF,1994,1300/2194(L),2194(L),,Telecommunications
1400,NDF,2001,1884-1885,1884-1885,,West Zone Power System Development
1402,NDF,2002,1942-1943,1942-1943,,Dhaka Clean Fuel
1424,Netherlands,1987,0860-0861,0860-0861,,Third Irrigation Sector
1426,Netherlands,1992,1137/1633(L)/1842(L),1633(L),24250,Second NGO Microcredit (Supplementary)
1427,Netherlands,1992,1137/1633(L)/1842(L),1842(L),24250,Second NGO Microcredit (Supplementary)
1429,Netherlands,1994,2193(L),2193(L),,Energy Efficiency Support
1433,Netherlands,1996,1403/2563(L),2563(L),23319,Forestry Sector
1436,Netherlands,1997,1515/2852(L),2852(L),29204,Forestry Sector
1438,Netherlands,1999,1643/3158(L)/3300(L),3158(L),30032,Sundarbans Biodiversity Conservation (Supplementary)
1439,Netherlands,1999,1643/3158(L)/3300(L),3300(L),30032,Sundarbans Biodiversity Conservation (Supplementary)
1441,Netherlands,2000,1716/3477(L),3477(L),31287,Coastal Resource Management
1445,Netherlands,2001,1767/3519(L)/3778(L),3519(L),31381,Protected Area Management and Wildlife Conservations
1446,Netherlands,2001,1767/3519(L)/3778(L),3778(L),31381,Protected Area Management and Wildlife Conservations
1448,Netherlands,2001,1831/3683(L),3683(L),30209,Small Scale Water Resources Development Sector II
1450,Netherlands,2001,1846/3742(L),3742(L),34442,North East Community Restoration and Development
1452,Netherlands,2002,1855/3892(L),3892(L),30292,Second Red River Basin Sector
1454,Netherlands,2002,1953/4007(L)/4008(L),4007(L),35274,Commune Council Development
1455,Netherlands,2002,1953/4007(L)/4008(L),4008(L),35274,Commune Council Development
1457,Netherlands,2002,1964/4022(L),4022(L),35261,Sustainable Capacity Building for Decentralization
1459,Netherlands,2002,1974/4032(L),4032(L),31328,Modernizing Government and Fiscal Reform in Kerala
1461,Netherlands,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
1465,Netherlands,2003,2064/2065/4299(L),4299(L),32359,Participatory Irrigation Sector
1467,Netherlands,2004,2109/4560(L),4560(L),37135,Supporting Public Resource Management Reforms in Balochistan
1495,Netherlands,2008,2477/0129-0130,0129-0130,37381,Dry Zone Urban Water and Sanitation
