Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,,,,,,,,,,,0,348,0,0,348,0,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,0,198,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"ADFD,OFID",2012,2012,,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198,,,198,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,with piggy back TA8221,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
ADFD,ADFD,2012,2012,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0,,30,,30,DVA,,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
150,0,0,150,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,459,65.8,0,0,524.8,0,191.9,0,191.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",2014,2014,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0,,30,,30,DVA,FW,Partial Administration,Bilateral,Loan,,3200,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,,,,,
0,0,0,0,0,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AFD,2015,2015,,3151/401-2/466-7/8299-300,42334-017,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,"Related to LN3151, GR0401 and GR0402 all in 2014",
