,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
7,Australia,2007.0,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
8,Australia,2007.0,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
9,Australia,2007.0,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
10,Australia,2007.0,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
24,Finland,2007.0,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
25,Finland,2007.0,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
26,Finland,2007.0,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
27,Finland,2007.0,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
28,Finland,2007.0,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
60,Korea,2007.0,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
61,Korea,2007.0,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
62,Korea,2007.0,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
63,Korea,2007.0,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
65,Norway,2007.0,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
66,Norway,2007.0,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
67,Norway,2007.0,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
