,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
4,2007,2196/0023,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,,0.0,29.5,0.5,0.0,30.0,OFID,0.0,3.5,3.5,04-Dec-2007
7,2007,2372/0095/2988/0337,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),,0.0,75.0,0.0,0.0,75.0,Australia,25.5,0.0,75.5,28-Nov-2007
8,2007,2372/0095/2988/0337,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),,,,,,,KEXIM,0.0,50.0,,
9,2007,2373/0096,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),,0.0,7.0,0.0,0.0,7.0,Australia,8.0,0.0,8.0,28-Nov-2007
12,2007,2311/0071,PHI,Integrated Coastal Resources Management,,33.8,0.0,0.0,0.0,33.8,GEF,9.0,0.0,9.0,23-Jan-2007
13,2007,2357/0103/8236,VIE,Integrated Rural Development Sector Project in the Central Provinces,,0.0,90.0,0.0,0.0,90.0,AFD,1.3,52.0,53.3,15-Oct-2007
14,2007,2398-2399/0102,PNG,Lae Port Development,,60.0,40.0,0.0,0.0,100.0,HIV/AIDS Cooperation Fund,0.75,0.0,6.75,18-Dec-2007
15,2007,2398-2399/0102,PNG,Lae Port Development,,,,,,,OFID,0.0,6.0,,
18,2007,2168/7/13/75/0193,SRI,North East Community Restoration and Development II (Supplementary),,0.0,0.0,0.0,0.0,0.0,Finland,0.5,0.0,1.5,05-Feb-2007
19,2007,2168/7/13/75/0193,SRI,North East Community Restoration and Development II (Supplementary),,,,,,,Norway,1.0,0.0,,
20,2007,0082/8241,LAO,Northern GMS Transport Network Improvement,,0.0,0.0,27.0,0.0,27.0,Australia,14.5,0.0,47.9,27-Sep-2007
21,2007,0082/8241,LAO,Northern GMS Transport Network Improvement,,,,,,,KEXIM,0.0,22.4,,
22,2007,0082/8241,LAO,Northern GMS Transport Network Improvement,,,,,,,OFID,0.0,11.0,,
23,2007,2368/0087/0101/8232,SAM,Power Sector Expansion,,0.0,26.61,15.39,0.0,42.0,Australia,8.0,0.0,46.0,21-Nov-2007
24,2007,2368/0087/0101/8232,SAM,Power Sector Expansion,,,,,,,JICA (ACFA),0.0,38.0,,
25,2007,9024/0076,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),,0.0,0.0,0.0,0.0,0.0,CIDA,12.8,0.0,12.8,28-Mar-2007
26,2007,0093/8234,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,,0.0,0.0,50.0,0.0,50.0,OFID,0.0,10.0,11.5,12-Dec-2007
27,2007,0093/8234,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,,,,,,,SDC,1.5,0.0,,
42,2007,2167/0006/0011/0045/8221,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),,0.0,7.0,0.0,0.0,7.0,EC,16.0,0.0,16.0,19-Jun-2007
