Year,Loan / Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total,ADB Approval
1970,0068,SAM,Beef Cattle Pilot Farm,,0.00,0.33,0.00,0.00,0.33,UNDP,0.10,0.00,0.10,27-May-1971
1970,0050,THA,Power Transmission and SubStation Expansion,,19.00,0.00,0.00,0.00,19.00,JBIC (ODA),0.00,15.50,15.50,17-Dec-1970
1970,0033,INO,Pusri Fertilizer Plant Expansion,,0.00,10.00,0.00,0.00,10.00,IDA,0.00,35.00,71.70,04-Jun-1970
1970,0033,INO,Pusri Fertilizer Plant Expansion,,,,,,,JBIC (ODA),0.00,12.70,,
1970,0033,INO,Pusri Fertilizer Plant Expansion,,,,,,,USA,0.00,24.00,,
1970,0028,LAO,Tha Ngon Agricultural Development,,0.00,0.97,0.00,0.00,0.97,JICA,0.63,0.00,0.63,10-Mar-1970
1970,0065,LAO,Vientiane Power Distribution,,0.00,3.37,0.00,0.00,3.37,Germany,0.00,3.73,3.73,06-May-1971
1972,0118/8002,SRI,Bowatenna Power,,0.00,8.00,0.00,0.00,8.00,OFID,0.00,3.15,3.15,19-Dec-1972
1973,0137,THA,Bangkok Water Supply,,19.60,0.00,0.00,0.00,19.60,IBRD,0.00,55.00,55.00,24-Jul-1973
1973,0127,AFG,Helmand Valley Development Road,,0.00,14.90,0.00,0.00,14.90,OFID,0.00,3.55,3.55,18-Apr-1973
1973,0168-169,PAK,Mangla Hydropower,,12.80,3.90,0.00,0.00,16.70,Belgium,0.00,7.60,7.60,17-Dec-1973
1973,0171-0172,PAK,Multan Fertilizer,,0.00,27.00,0.00,0.00,27.00,ADNOC,0.00,31.32,77.32,19-Dec-1973
1973,0171-0172,PAK,Multan Fertilizer,,,,,,,IBRD,0.00,35.00,,
1973,0171-0172,PAK,Multan Fertilizer,,,,,,,OFID,0.00,11.00,,
1973,0162/8001,MYA,Rangoon Water Supply,,0.00,13.00,0.00,0.00,13.00,OFID,0.00,1.28,1.28,11-Dec-1973
1973,0146,TON,Telecommunications,,0.00,1.30,0.00,0.00,1.30,Australia,0.78,0.00,0.78,08-Nov-1973
1974,0215,BAN,Bangladesh Railway,,0.00,23.00,0.00,0.00,23.00,UNDP,0.72,0.00,0.72,23-Dec-1974
1974,0213,BAN,Jute Seed,,0.00,9.55,0.00,0.00,9.55,UNDP,1.10,0.00,1.10,19-Dec-1974
1975,0217,BAN,Ashuganj Fertilizer,,0.00,30.00,0.00,0.00,30.00,Germany,0.00,12.10,112.50,20-Feb-1975
1975,0217,BAN,Ashuganj Fertilizer,,,,,,,IDA,0.00,33.00,,
1975,0217,BAN,Ashuganj Fertilizer,,,,,,,Iran,0.00,12.50,,
1975,0217,BAN,Ashuganj Fertilizer,,,,,,,Switzerland,0.00,8.00,,
1975,0217,BAN,Ashuganj Fertilizer,,,,,,,United Kingdom,0.00,16.90,,
1975,0217,BAN,Ashuganj Fertilizer,,,,,,,USA,0.00,30.00,,
1975,0252-0253,PAK,Mirpur Mathelo Fertilizer,,0.00,50.00,0.00,0.00,50.00,Saudi Fund for Development,0.00,80.00,80.00,18-Dec-1975
1975,0231,SRI,Urea Fertilizer,,0.00,30.00,0.00,0.00,30.00,Germany,0.00,24.50,62.00,18-Sep-1975
1975,0231,SRI,Urea Fertilizer,,,,,,,India,0.00,12.50,,
1975,0231,SRI,Urea Fertilizer,,,,,,,Kuwait Fund for Arab Economic Development,0.00,25.00,,
1976,0289,SOL,Beef Cattle Development,,0.00,3.57,0.00,0.00,3.57,Australia,0.00,1.54,2.16,21-Dec-1976
1976,0289,SOL,Beef Cattle Development,,,,,,,New Zealand,0.00,0.11,,
1976,0289,SOL,Beef Cattle Development,,,,,,,United Kingdom,0.00,0.52,,
1976,0279-0280,PAK,Port Qasim,,48.60,0.00,0.00,0.00,48.60,CIDA,0.00,6.06,28.91,18-Nov-1976
1976,0279-0280,PAK,Port Qasim,,,,,,,DFID,0.00,21.84,,
1976,0279-0280,PAK,Port Qasim,,,,,,,JICA,1.01,0.00,,
1976,0277,INO,Second Road,,48.21,0.00,0.00,0.00,48.21,Saudi Fund for Development,0.00,50.00,50.00,28-Oct-1976
1976,0293,BAN,Serajgonj Integrated Rural Development,,0.00,26.00,0.00,0.00,26.00,UNCDF,2.15,0.00,2.35,23-Dec-1976
1976,0293,BAN,Serajgonj Integrated Rural Development,,,,,,,UNICEF,0.20,0.00,,
1977,0330,PAK,Chashma Right Bank Irrigation,,0.00,31.50,0.00,0.00,31.50,EC,0.00,4.48,4.48,15-Dec-1977
1977,0328,SAM,Coconut Oil Mill,,0.00,2.25,0.00,0.00,2.25,New Zealand,0.00,0.39,0.39,13-Dec-1977
1977,0056/8003,PHI,Cotabato-General Santos Road,,10.60,0.00,0.00,0.00,10.60,OFID,0.00,8.25,8.25,03-Aug-1977
1977,0322,AFG,Fertilizer and Agrochemical Storage,,0.00,5.70,0.00,0.00,5.70,EC,0.00,1.12,1.12,29-Nov-1977
1977,0311,SOL,Fisheries Development,,0.00,3.60,0.00,0.00,3.60,New Zealand,0.00,0.20,0.20,13-Oct-1977
1977,0324/0612,SRI,Kirindi Oya Irrigation and Settlement,,0.00,24.00,0.00,0.00,24.00,Germany,0.00,13.30,25.30,09-Dec-1977
1977,0324/0612,SRI,Kirindi Oya Irrigation and Settlement,,,,,,,IFAD,0.00,12.00,,
1977,0334/8009,NEP,Sagarnath Forestry Development,,0.00,4.90,0.00,0.00,4.90,Australia,0.46,0.00,3.46,20-Dec-1977
1977,0334/8009,NEP,Sagarnath Forestry Development,,,,,,,OFID,0.00,3.00,,
