partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
Australia,2007,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Australia,2007,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Australia,2007,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Australia,2007,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Finland,2007,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
Finland,2007,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
Finland,2007,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
Finland,2007,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
Finland,2007,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
Korea,2007,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Korea,2007,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Korea,2007,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Korea,2007,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam)
Norway,2007,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
Norway,2007,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
Norway,2007,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
Norway,2007,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
Norway,2007,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2008,0049/50,0049,39581-012,Road Improvement (Sector) (Supplementary)
Australia,2008,0049/50,0050,39581-012,Road Improvement (Sector) (Supplementary)
EC,2008,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector)
EC,2008,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector)
EC,2008,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector)
IsDB,2008,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
IsDB,2008,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
IsDB,2008,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
IsDB,2008,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
Australia,2009,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
Australia,2009,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
Australia,2009,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
Australia,2009,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
Australia,2009,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2009,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2009,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2009,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2009,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
Australia,2009,2288/2602/0187,2288,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
Australia,2009,2288/2602/0187,2602,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
Australia,2009,2288/2602/0187,0187,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
France,2009,2552/2553/8246,2552,42051-023,Energy Efficiency Investment Program - Tranche I
France,2009,2552/2553/8246,2553,42051-023,Energy Efficiency Investment Program - Tranche I
France,2009,2552/2553/8246,8246,42051-023,Energy Efficiency Investment Program - Tranche I
Japan,2009,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers
Japan,2009,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers
Japan,2009,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers
Japan,2009,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers
MDTF-WFPF,2009,2550/0159,2550,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
MDTF-WFPF,2009,2550/0159,0159,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
MDTF-WFPF,2009,2606,2606,42383-023,Shanxi Small Cities and Towns Development Demonstration Sector
Australia,2010,2686/0226/0425,2686,44304-014,Microfinance Expansion
Australia,2010,2686/0226/0425,0226,44304-014,Microfinance Expansion
Australia,2010,2686/0226/0425,0425,44304-014,Microfinance Expansion
International Federation of Red Cross and Red Crescent Society,2010,2626/0246,2626,44065-013,Conflict-Affected Region Emergency
International Federation of Red Cross and Red Crescent Society,2010,2626/0246,0246,44065-013,Conflict-Affected Region Emergency
Korea,2010,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
Korea,2010,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
Korea,2010,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
Korea,2010,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
PRIF,2010,2718,2718,44281-013,Road Rehabilitation
World Bank,2010,2718,2718,44281-013,Road Rehabilitation
Australia,2011,2761,2761,42122-013,Third Primary Education Development
Australia,2011,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector
Australia,2011,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector
Australia,2011,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector
Australia,2011,G0272/0289,0289,35174-082,School Sector Program
Canada,2011,2761,2761,42122-013,Third Primary Education Development
Denmark,2011,G0272/0289,0289,35174-082,School Sector Program
EC,2011,2761,2761,42122-013,Third Primary Education Development
EC,2011,G0272/0289,0289,35174-082,School Sector Program
EIB,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
Finland,2011,G0272/0289,0289,35174-082,School Sector Program
France,2011,2025/2747,2025,29296-013,Phuoc Hoa Water Resources (Supplementary)
France,2011,2025/2747,2747,29296-013,Phuoc Hoa Water Resources (Supplementary)
France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
FTI,2011,G0272/0289,0289,35174-082,School Sector Program
Germany,2011,2695/0323,2695,39298-013,City Region Development
