Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,,,,,,,,,,,,0.00,348.00,0.00,0.00,348.00,0.00,60.00,0.00,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.00,0.00,0.00,198.00,0.00,30.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"ADFD,OFID","ADFD,OFID",2012,2012,,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198.00,,,198.00,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,with piggy back TA8221,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
ADFD,ADFD,ADFD,2012,2012,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
150.00,0.00,0.00,150.00,0.00,30.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,EIB,ADFD","EIB,ADFD",2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,150.00,,,150.00,,,,,,,,,,,3200,Energy,3202,Large Hydropower,,,Sustainable Economic Growth,,,,,,,,,,,,,
ADFD,ADFD,ADFD,2013,2013,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,
,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,191.90,0.00,191.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,0.00,0.00,0.00,30.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",AFD,2014,2014,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0.00,,30.00,,30.00,DVA,FW,Partial Administration,Bilateral,Loan,,3200,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AFD,AFD,2015,2015,,3151/401-2/466-7/8299-300,42334-017,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0.00,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,"Related to LN3151, GR0401 and GR0402 all in 2014",
0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",AFD,2015,2015,8299,3151/401/402/466/407/8299/8300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0.00,,40.00,,40.00,DVA,FW,Partial Administration,Bilateral,Loan,,3700,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.00,46.00,0.00,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",AFD,2015,2015,3316 (CL),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,,46.00,,46.00,DVA,FW,Collaborative,Bilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.00,75.90,0.00,75.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",AFD,2015,2015,3363 (CL) -1,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,75.90,,75.90,DVA,FW,Collaborative,Bilateral,Loan,,3700,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
