,Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
3,ADFD,ADFD,ADFD,2012,2012,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43.",2949
6,ADFD,ADFD,ADFD,2013,2013,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,,2990
15,AFD,"France,AFD",AFD,2015,2015,3316 (CL),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,,46.00,,46.00,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
17,AFD,"France,AFD",AFD,2015,2015,3363 (CL) -1,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,75.90,,75.90,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
78,AsIF,AsIF,AsIF,2015,2015,3250 (CG),3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0.00,6.90,,,6.90,DVA,PS,Collaborative,Multilateral,Grant,,3700.0,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,"Asian Investment Facility of the European Union, this grant managed by EIB; ﾀ5million",,3250
80,AsIF,AsIF,AsIF,2015,2015,3316 (CG),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,6.80,,,6.80,DVA,PS,Collaborative,Multilateral,Grant,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
130,Australia,Australia,,2010,2010,0243 (CG1),0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.00,30.00,,,30.00,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,,0243
136,Australia,Australia,,2011,2011,0272 (CG),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,15.60,,,15.60,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
166,Australia,Australia,,2015,2015,0442 (CG1),0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.00,1.10,,,1.10,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,09/30/2015,,,,,Sovereign,,,,,,0442
172,Australia,Australia,,2015,2015,0458 (CG2),0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.00,1.50,,,1.50,DVA,PS,Collaborative,Bilateral,Grant,,4000.0,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,0458
