,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
1,ADFD,2012,2949 (CL),2949/8263,40540-014,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,30.0,DVA,,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
2,ADFD,2013,,2990/2991,43281-013,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,30.0,DVA,,Collaborative,Bilateral,Loan,Energy,Sovereign
4,"France,AFD",2014,8290,3146/3147/0084/8290,47037-004,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,30.0,DVA,FW,Partial Administration,Bilateral,Loan,Energy,Sovereign
5,"France,AFD",2015,3363/3364,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,75.9,DVA,FW,Collaborative,Bilateral,Loan,Transport,Sovereign
6,"France,AFD",2015,8299,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,40.0,DVA,FW,Partial Administration,Bilateral,Loan,Transport,Sovereign
7,"France,AFD",2015,,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,46.0,DVA,FW,Collaborative,Bilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
9,AIF,2013,8276,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,25.0,DVA,PS,Full Administration,Multilateral,Loan,Energy,Sovereign
10,AIF,2014,8280,3123/8280,47315,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,40.0,DVA,PS,Full Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
11,AIF,2014,8286,3161/8286,46391-001,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,100.0,DVA,PS,Full Administration,Multilateral,Loan,Energy,Sovereign
12,AIF,2015,8293,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,100.0,DVA,PS,Full Administration,Multilateral,Loan,Energy,Sovereign
13,AIF,2015,8294,3310/8294,46422-003,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,20.0,DVA,PS,Full Administration,Multilateral,Loan,Transport,Sovereign
14,AIF,2015,8296,3315/8296,46443-003,LAO,Second Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,11/13/2015,10.0,DVA,PS,Full Administration,Multilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
15,AIF,2015,8297,3339/8297,49080-001,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,25.0,DVA,PS,Full Administration,Multilateral,Loan,Energy,Sovereign
17,AITF,2011,262,0261-0262,44482,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,33.0,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
18,AITF,2012,291,0244/0291,42095-033,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,30.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
19,AITF,2012,328,0327-0328,44482-023,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,60.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
20,AITF,2013,328,0327-0328,44482-023,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,27.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
21,AITF,2013,375,0374/0375,46392-001,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,117.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
22,AITF,2014,412,0411/0412,48326-001,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,16.66,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
23,AITF,2015,262,0261-0262,44482,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,1.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Transport,Sovereign
24,AITF,2015,437,0126/0437,39370-023,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,11.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
25,AITF,2015,465,0464/0465,47282-003,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,75.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
27,AsIF,2015,3250,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,6.9,DVA,PS,Collaborative,Multilateral,Grant,Transport,Sovereign
28,AsIF,2015,,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,6.8,DVA,PS,Collaborative,Multilateral,Grant,Water and Other Urban Infrastructure and Services,Sovereign
30,Australia,1973,,146,41657,TON,Telecommunications,PARD,PARD,11/08/1973,0.78,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
31,Australia,1976,,289,,SOL,Beef Cattle Development,PARD,,12/21/1976,1.54,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
32,Australia,1977,,0334/8009,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0.46,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
33,Australia,1978,,372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,4.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
34,Australia,1979,,445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.89,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
35,Australia,1980,,485,,SAM,Agricultural Development,PARD,,11/27/1980,2.0,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
36,Australia,1983,,646,,SOL,Agricultural Development,PARD,,10/29/1983,2.0,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
37,Australia,1986,,786,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0.16,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
38,Australia,1990,,1031,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,2.7,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
39,Australia,1992,,1183,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,3.87,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
