approval_number,proj_no,coms_proj_no,coms_project_title
0036,34418-023,34418-013,SW AREA INTEGRATED WATER RESOURCES PLANNING & MGT
0075,36601-013,34442-032,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
0127,40263-033,40263-022,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
0226,44304-014,44304-013,MICROFINANCE EXPANSION PROJECT
0253,40517-013,40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
0254,40517-013,40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
0277,38097-013,38097-012,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
0285,46009-003,46009-001,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT
0291,42095-033,42095-032,MFF:ROAD NETWORK DEVELOPMENT INVESTMENT PROGRAM-TR
0292,40263-033,40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
0293,40263-033,40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
0311,40685-023,40685-013,JINGSU YANCHENG WETLANDS PROTECTION PROJECT
0337,36353-013,41496-014,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
0348,43452-023,43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT
0382,38097-013,38097-012,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
0383,39399-034,39399-013,SOUTH ASIA TOURISM INFRASTRUCTURE DEVELOPMENT PROJ
0406,38097-013,38097-012,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
0424,46455-004,46455-002,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
0425,44304-014,44304-013,MICROFINANCE EXPANSION PROJECT - ADDL FIN
0426,40253-033,40253-023,GMS BIODIVERSITY CONSERVATION CORRIDORS PROJECT(AD
0443,46455-004,46455-002,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
0445,43452-023,43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
0446,43452-023,43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
0448,41505-013,41505-012,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTROL
0449,41507-013,41507-012,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTRL P
0451,47281-001,N/A-N/A,NATIONAL HIGHWAY NETWORK DEVELOPMENT IN BALOCHISTA
0456,46044-003,46044-002,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
0457,46044-003,46044-002,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
0471,45041-002,N/A-N/A,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
8264,42361-014,42361-013,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR PROJECT
8273,44507-003,44507-002,PUBLIC-PRIVATE PARTNERSHIP SUPPORT PROJECT(ADD'L FINANCING)
8281,47919-014,,LN8281-GEO: ADJARISTSQALI (CCFPS)
8283,47937-001,,LN8283- INO:RANTAU DEDAP
8288,33209-014,33209-013,PARTLY ADMIN:COMMUNITY-MANAGED IRRIGATED AGRICULTURE SECTOR-ADDFI
8289,48233-001,,LN8289-THA:CHAIYAPHUM WIND CTF
8303,45041-002,N/A-N/A,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
9135,38097-013,38097-012,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
