Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
0,Asian Development Bank,Japan,1980,1980.0,,0,,,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0,Asian Development Bank,Japan,1988,1988.0,,0,,,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
0,Asian Development Bank,Japan,1987,1987.0,,0,,,,INO,Local Road Dev Project,SERD,,12/08/1987,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0,JBIC (ODA),Japan,1980,1980.0,,0,,,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,,,,,0.0,,17.4,,17.4,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,07/29/1980,,,,,Sovereign,,,,,
0,JBIC (ODA),Japan,1988,1988.0,,0,,,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,,,,,0.0,,46.6,,46.6,Non-DVA,,,Bilateral,Loan,OCR,3900.0,Multisector,3900,,,,,,,10/21/1988,,,,,Sovereign,,,,,
0,JBIC (ODA),Japan,1987,1987.0,,0,,,,INO,Local Road Dev Project,SERD,,12/08/1987,,,,,0.0,,84.75,,84.75,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/08/1987,,,,,Sovereign,,,,,
0016,Asian Development Bank,"Norway,OFID",2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,0.0,0.0,10.0,,10.0,,,,,,,,,,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,no project number,
0016,Asian Development Bank,"Norway,OFID",2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,0.0,0.0,10.0,,10.0,,,,,,,,,,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,no project number,
0016,NORAD,Norway,2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,,,,,0.0,1.7,,,1.7,Non-DVA,,,Bilateral,Grant,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,08/25/2005,,,,,Sovereign,,,,[ADF Grant 016] Nkr 11.05 m parallel cofinancing was approved.  To be adj from $1.7 to 2.55 ref supp grant RRP.  Dec 2010,
0016,OFID,OFID,2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,,,,,0.0,,9.0,,9.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,08/25/2005,02/10/1970,,05/31/1976,,Sovereign,,,,,
0025-0027,Asian Development Bank,WHO,2005,2005.0,,0025-0027,,,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,0.0,30.0,0.0,,30.0,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Regional Cooperation,,,,,,,,,,,,,
0025-0027,WHO,WHO,2005,2005.0,,0025-0027,,,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,,,,,0.0,0.9,,,0.9,Non-DVA,,,Multilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,11/21/2005,,,,,Sovereign,,,,,
0034,Asian Development Bank,Finland,2005,2005.0,,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,0.0,0.0,15.0,,15.0,,,,,,,,,,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,Partly successful,,,no project number,
0034,Finland,Finland,2005,2005.0,35,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,,,,,0.0,4.74,,,4.74,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,12/21/2005,03/03/1971,,12/29/1977,,Sovereign,Partly successful,,,,
0048,Asian Development Bank,OFID,1978,1978.0,,0048/8008,,,,VIE,Fisheries Development,SERD,SEER,04/26/1978,,,,,0.0,,,,,,,,,,,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
0048,OFID,OFID,1978,1978.0,8008,0048/8008,,,,VIE,Fisheries Development,SERD,SEER,04/26/1978,,,,,0.0,,7.0,,7.0,DVA,,Partial Administration,Multilateral,Loan,,3000.0,Agriculture and Natural Resources,,,,,,,,04/26/1978,,,,,Sovereign,,,,,
0049,Asian Development Bank,"Australia,New Zealand",2006,2006.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,0.0,0.0,0.35,,0.35,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
