approval_number,proj_no,coms_proj_no,coms_project_title
0007,36601-013,not in CoMs,not in CoMs
0084,47037-004,not in CoMs,not in CoMs
0116,42186-014,not in CoMs,not in CoMs
0126,39370-023,not in CoMs,not in CoMs
0231,41505-013,not in CoMs,not in CoMs
0232,41507-013,not in CoMs,not in CoMs
0244,42095-033,not in CoMs,not in CoMs
0267,38426-023,not in CoMs,not in CoMs
0290,43566-013,not in CoMs,not in CoMs
0301,45432-002,not in CoMs,not in CoMs
0347,43452-023,not in CoMs,not in CoMs
0366,45169-001,not in CoMs,not in CoMs
0370,46044-002,not in CoMs,not in CoMs
0373,46044-002,not in CoMs,not in CoMs
0374,46392-001,not in CoMs,not in CoMs
0389,48192-001,not in CoMs,not in CoMs
0409,46122-003,not in CoMs,not in CoMs
0411,48326-001,not in CoMs,not in CoMs
0414,46455-004,not in CoMs,not in CoMs
0416,47314-001,not in CoMs,not in CoMs
0419,46348-003,not in CoMs,not in CoMs
0422,44482-025,not in CoMs,not in CoMs
0438,46346-002,not in CoMs,not in CoMs
0442,47318-001,not in CoMs,not in CoMs
0444,43452-023,not in CoMs,not in CoMs
0452,46535-001,not in CoMs,not in CoMs
0458,47320-001,not in CoMs,not in CoMs
0459,49319-001,not in CoMs,not in CoMs
0460,49319-001,not in CoMs,not in CoMs
0464,47282-003,not in CoMs,not in CoMs
0466,42334-014,not in CoMs,not in CoMs
2025,29296-013,not in CoMs,not in CoMs
2168,36601-013,not in CoMs,not in CoMs
2200,34418-023,not in CoMs,not in CoMs
2217,38357-013,not in CoMs,not in CoMs
2288,37269-023,not in CoMs,not in CoMs
2372,36353-013,not in CoMs,not in CoMs
2453,40517-013,not in CoMs,not in CoMs
2454,40517-013,not in CoMs,not in CoMs
2455,42186-014,not in CoMs,not in CoMs
2517,42182-013,not in CoMs,not in CoMs
2550,42382-013,not in CoMs,not in CoMs
2552,42051-023,not in CoMs,not in CoMs
2553,42051-023,not in CoMs,not in CoMs
2602,37269-023,not in CoMs,not in CoMs
2606,42383-023,not in CoMs,not in CoMs
2610,39595-033,not in CoMs,not in CoMs
2626,44065-013,not in CoMs,not in CoMs
2686,44304-014,not in CoMs,not in CoMs
2695,39298-013,not in CoMs,not in CoMs
2699,41505-013,not in CoMs,not in CoMs
2699,41507-013,not in CoMs,not in CoMs
2699,41508-014,not in CoMs,not in CoMs
2718,44281-013,not in CoMs,not in CoMs
2730,41414-043,not in CoMs,not in CoMs
2741,40080-013,not in CoMs,not in CoMs
2747,29296-013,not in CoMs,not in CoMs
2756,42171-013,not in CoMs,not in CoMs
2761,42122-013,not in CoMs,not in CoMs
2767,38357-013,not in CoMs,not in CoMs
2769,37113-013,not in CoMs,not in CoMs
2783,43200-024,not in CoMs,not in CoMs
2784,43200-024,not in CoMs,not in CoMs
2785,41509-013,not in CoMs,not in CoMs
2789,41433-013,not in CoMs,not in CoMs
2795,43072-013,not in CoMs,not in CoMs
2796,38426-023,not in CoMs,not in CoMs
2817,38479-034,not in CoMs,not in CoMs
2820,42392-013,not in CoMs,not in CoMs
2826,41462-013,not in CoMs,not in CoMs
2835,44012-013,not in CoMs,not in CoMs
2838,40685-023,not in CoMs,not in CoMs
2839,43309-013,not in CoMs,not in CoMs
2852,46009-003,not in CoMs,not in CoMs
2857,45094-001,not in CoMs,not in CoMs
2858,45094-001,not in CoMs,not in CoMs
2867,43566-013,not in CoMs,not in CoMs
2872,43396-013,not in CoMs,not in CoMs
2878,42177-013,not in CoMs,not in CoMs
2892,43576-013,not in CoMs,not in CoMs
2893,43576-013,not in CoMs,not in CoMs
2913,45084-002,not in CoMs,not in CoMs
2914,41627-053,not in CoMs,not in CoMs
2915,44007-013,not in CoMs,not in CoMs
2916,46145-001,not in CoMs,not in CoMs
2920,44507-003,not in CoMs,not in CoMs
2928,42099-013,not in CoMs,not in CoMs
2931,43319-022,not in CoMs,not in CoMs
2934,39256-024,not in CoMs,not in CoMs
2935,39256-024,not in CoMs,not in CoMs
2942,46093-001,not in CoMs,not in CoMs
2949,40540-014,not in CoMs,not in CoMs
2956,39500-033,not in CoMs,not in CoMs
2957,41220-013,not in CoMs,not in CoMs
2959,42039-035,not in CoMs,not in CoMs
2962,43031-013,not in CoMs,not in CoMs
2963,45009-002,not in CoMs,not in CoMs
2964,43207-013,not in CoMs,not in CoMs
2966,42378-015,not in CoMs,not in CoMs
2969,43319-043,not in CoMs,not in CoMs
2970,40190-013,not in CoMs,not in CoMs
2979,42361-014,not in CoMs,not in CoMs
2980,44037-014,not in CoMs,not in CoMs
2983,43319-033,not in CoMs,not in CoMs
2988,36353-013,not in CoMs,not in CoMs
2990,43281-013,not in CoMs,not in CoMs
2991,43281-013,not in CoMs,not in CoMs
2993,42145-043,not in CoMs,not in CoMs
3000,43524-014,not in CoMs,not in CoMs
3006,44321-013,not in CoMs,not in CoMs
3007,44321-013,not in CoMs,not in CoMs
3008,39293-037,not in CoMs,not in CoMs
3009,39293-037,not in CoMs,not in CoMs
3013,40255-033,not in CoMs,not in CoMs
3015,41074-013,not in CoMs,not in CoMs
3025,44458-013,not in CoMs,not in CoMs
3026,44458-013,not in CoMs,not in CoMs
3029,45148-007,not in CoMs,not in CoMs
3030,45148-007,not in CoMs,not in CoMs
3041,45301-002,not in CoMs,not in CoMs
3045,42180-013,not in CoMs,not in CoMs
3046,42180-013,not in CoMs,not in CoMs
3047,44213-016,not in CoMs,not in CoMs
3051,42173-013,not in CoMs,not in CoMs
3052,45224-003,not in CoMs,not in CoMs
3056,45169-001,not in CoMs,not in CoMs
3068,46093-004,not in CoMs,not in CoMs
3075,46058-002,not in CoMs,not in CoMs
3083,42362-013,not in CoMs,not in CoMs
3087,42378-016,not in CoMs,not in CoMs
3090,47094-001,not in CoMs,not in CoMs
3091,47094-001,not in CoMs,not in CoMs
3092,47094-001,not in CoMs,not in CoMs
3094,46421-001,not in CoMs,not in CoMs
3098,45007-004,not in CoMs,not in CoMs
3099,45007-004,not in CoMs,not in CoMs
3100,46420-002,not in CoMs,not in CoMs
3111,44253-013,not in CoMs,not in CoMs
3113,45200-002,not in CoMs,not in CoMs
3117,39399-034,not in CoMs,not in CoMs
3119,42251-018,not in CoMs,not in CoMs
3120,42251-018,not in CoMs,not in CoMs
3121,40075-033,not in CoMs,not in CoMs
3124,33209-014,not in CoMs,not in CoMs
3125,46009-003,not in CoMs,not in CoMs
3126,47015-001,not in CoMs,not in CoMs
3130,47919-014,not in CoMs,not in CoMs
3131,42466-015,not in CoMs,not in CoMs
3133,44212-013,not in CoMs,not in CoMs
3134,47281-001,not in CoMs,not in CoMs
3138,44167-014,not in CoMs,not in CoMs
3139,44219-014,not in CoMs,not in CoMs
3141,45306-001,not in CoMs,not in CoMs
3142,39295-013,not in CoMs,not in CoMs
3146,47037-004,not in CoMs,not in CoMs
3147,47037-004,not in CoMs,not in CoMs
3148,43253-025,not in CoMs,not in CoMs
3150,46416-002,not in CoMs,not in CoMs
3151,42334-014,not in CoMs,not in CoMs
3157,35173-013,not in CoMs,not in CoMs
3158,48901-014,not in CoMs,not in CoMs
3161,46391-001,not in CoMs,not in CoMs
3164,48134-001,not in CoMs,not in CoMs
3169,46168-001,not in CoMs,not in CoMs
3170,46168-001,not in CoMs,not in CoMs
3182,42267-026,not in CoMs,not in CoMs
3183,42267-026,not in CoMs,not in CoMs
3186,46268-002,not in CoMs,not in CoMs
3193,46453-002,not in CoMs,not in CoMs
3197,40075-043,not in CoMs,not in CoMs
3198,47300-002,not in CoMs,not in CoMs
3210,48141-001,not in CoMs,not in CoMs
3212,46348-003,not in CoMs,not in CoMs
3216,45022-002,not in CoMs,not in CoMs
3218,47052-002,not in CoMs,not in CoMs
3219,48233-001,not in CoMs,not in CoMs
3225,44444-013,not in CoMs,not in CoMs
3226,44444-013,not in CoMs,not in CoMs
3227,47293-001,not in CoMs,not in CoMs
3228,47293-001,not in CoMs,not in CoMs
3235,40080-024,not in CoMs,not in CoMs
3249,42392-013,not in CoMs,not in CoMs
3250,45041-002,not in CoMs,not in CoMs
3256,42122-013,not in CoMs,not in CoMs
3271,44318-026,not in CoMs,not in CoMs
3279,47137-003,not in CoMs,not in CoMs
3280,47137-003,not in CoMs,not in CoMs
3286,41340-015,not in CoMs,not in CoMs
3300,48402-001,not in CoMs,not in CoMs
3302,34418-023,not in CoMs,not in CoMs
3303,49043-001,not in CoMs,not in CoMs
3308,47051-002,not in CoMs,not in CoMs
3309,46535-001,not in CoMs,not in CoMs
3310,46422-003,not in CoMs,not in CoMs
3311,42285-013,not in CoMs,not in CoMs
3315,46443-003,not in CoMs,not in CoMs
3316,47127-002,not in CoMs,not in CoMs
3320,44213-017,not in CoMs,not in CoMs
3321,47015-002,not in CoMs,not in CoMs
3322,47015-002,not in CoMs,not in CoMs
3331,49319-001,not in CoMs,not in CoMs
3332,49319-001,not in CoMs,not in CoMs
3339,49080-001,not in CoMs,not in CoMs
3340,43237-013,not in CoMs,not in CoMs
3348,45148-008,not in CoMs,not in CoMs
3349,45148-008,not in CoMs,not in CoMs
3350,42378-017,not in CoMs,not in CoMs
3356,49232-001,not in CoMs,not in CoMs
3363,40080-025,not in CoMs,not in CoMs
3364,40080-025,not in CoMs,not in CoMs
3365,44426-016,not in CoMs,not in CoMs
3366,49263-001,not in CoMs,not in CoMs
3369,43407-014,not in CoMs,not in CoMs
3374,42039-036,not in CoMs,not in CoMs
7407,47919-014,not in CoMs,not in CoMs
7409,47937-001,not in CoMs,not in CoMs
7435,48233-001,not in CoMs,not in CoMs
8287,48901-014,not in CoMs,not in CoMs
8298,49238-001,not in CoMs,not in CoMs
8301,49263-001,not in CoMs,not in CoMs
