Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
1970,5005,REG,Southeast Asian Regional Transport Survey,RETA,J,PS,Transport and ICT,Bilateral,Single Donor,"1,000.00",USA,19-Mar-1970,19-Mar-1970
1970,5005,REG,Southeast Asian Regional Transport Survey,RETA,J,PS,Transport and ICT,Multilateral,Multidonor,"1,142.53",UNDP,19-Mar-1970,19-Mar-1970
1972,0072,PHI,Laguna de Bay Water Resources Development Study,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,284.30",UNDP,08-Aug-1972,08-Aug-1972
1972,0073,VIE,Go Cong Pioneer Agricultural,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,220.00,WB,05-Sep-1972,05-Sep-1972
1973,0085,LAO,Casier Sud Pioneer Agriculture,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,115.00,WB,28-Mar-1973,28-Mar-1973
1973,0100,INO,Ports Study,PPTA,E,C,Transport and ICT,Multilateral,Multidonor,580.00,UNDP,11-Dec-1973,11-Dec-1973
1974,0103,VIE,Irrigation Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,215.00,UNDP,24-Jan-1974,24-Jan-1974
1974,0109,TON,Road Improvement and Maintenance Study,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,130.00,UNDP,07-May-1974,07-May-1974
1974,0111,BAN,Bangladesh Energy Policy Study (Preparatory),ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,50.00,UNDP,09-May-1974,09-May-1974
1974,0130,BAN,Bangladesh Energy Study,ADTA,E,PS,Energy,Multilateral,Multidonor,"1,250.00",UNDP,31-Oct-1974,31-Oct-1974
1974,5023,REG,"SEATAC, Preparatory Assistance",RETA,E,PS,Transport and ICT,Multilateral,Multidonor,60.00,UNDP,28-Mar-1974,28-Mar-1974
1975,0135,LAO,Reconstruction  and Development Programming,ADTA,E,PS,Public Sector Management,Multilateral,Multidonor,320.00,UNDP,13-Mar-1975,13-Mar-1975
1975,0144,KOR,Nakdong River Basin Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,300.00,UNDP,,01-Jul-1975
1975,0145,PHI,Luzon Roads Feasibility Study,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,310.00,UNDP,,01-Jul-1975
1975,0153,NEP,Tribhuvan International Airport,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,250.00,UNDP,,02-Oct-1975
1975,0157,BAN,Agricultural Credit,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,60.50,UNDP,,25-Nov-1975
