Donor,Cofinancier/ Source,Approval Year,Approval Numbers,Product Approval Number,Proj No,Country Mnemonic,Project Title,Source,TA-Type,CF Mode,Bank,JSF,CF Amnt,Approval Date CF,Approval Date Bank,Date of Agreement Letter,Approval Date Bank.1,Approval Date CF.1,DMC,Department,Division,Donor Type,TA-Type.1,Type of Cofinancing,AgreementType,Source Type,Sector Code,Sector,Sub Sector Code,Sub Sector,Date of Agreement Letter.1,Theme 1,Theme 2,Theme 3,Theme 4,SubTheme 1,SubTheme 2,SubTheme 3,SubTheme 4,Publications,TCR Rating,Validation Rating,TPER Rating
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4367,,,PAK,Balochistan Rural Development and Drought Mitigation,2nd Danish Cooperation Fund for Technical Assistance,,E,300,,300, ,, ,08/03/2004,,PAK,CWRD,CWAE,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,PS,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4369,,3762201,VIE,Upper Secondary and Professional Teacher Development,2nd Danish Cooperation Fund for Technical Assistance,,E,550,,250, ,, ,08/03/2004,,VIE,SERD,SESS,Single Donor,PP,E,C,,3100,Education,3106,Education Sector Development,,,,,,,,,,,,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4412,,3716601,BHU,Small and Medium Enterprise,2nd Danish Cooperation Fund for Technical Assistance,,E,,,300, ,, ,10/08/2004,,BHU,SARD,SAGF,Single Donor,AD,E,C,,3500,Industry and Trade,3503,Small and Medium Enterprise Development,,,,,,,,,,"DR 2012. para for 2nd DEN Fund, pp57.",S,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4415,,3710201,AFG,Kabul Air Quality Management,2nd Danish Cooperation Fund for Technical Assistance,,E,,,450, ,, ,10/15/2004,,AFG,SARD,,Single Donor,AD,E,C,,3700,Transport and ICT,3711,Urban Transport,,,,,,,,,,"DR 2011. para on DEN TF, pp 36.",PS,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4418,,3434402,VIE,Capacity Building for SME Development,2nd Danish Cooperation Fund for Technical Assistance,,J,500,,300, ,, ,10/21/2004,,VIE,SERD,SEGF,Single Donor,AD,J,C,,3500,Industry and Trade,3503,Small and Medium Enterprise Development,,,,,,,,,,,S,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2004,4476,,3638302,CAM,Small and Medium Enterprise Sector Development,2nd Danish Cooperation Fund for Technical Assistance,,J,500,,350, ,, ,12/14/2004,,CAM,SERD,SEGF,Single Donor,AD,J,C,,3500,Industry and Trade,3503,Small and Medium Enterprise Development,,,,,,,,,,,HS,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2005,4603,,3626501,VIE,Strategic Secondary Education Planning and Cooperation,2nd Danish Cooperation Fund for Technical Assistance,,J,,,300, ,, ,06/28/2005,,VIE,SERD,SESS,Single Donor,AD,J,C,,3100,Education,3106,Education Sector Development,,Social Development,Gender Equity,,,,,,,,HS,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2005,6078,,3602601,REG,Rural Finance in Central Asia,2nd Danish Cooperation Fund for Technical Assistance,,J,600,,50, ,, ,06/07/2005,,REG,CWRD,CWGF,Single Donor,RE,J,C,,3300,Finance,3301,Banking Systems,,Governance,,,,,,,,,S,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2006,4827,,3335705,LAO,Institutional Strengthening for Rural Finance,2nd Danish Cooperation Fund for Technical Assistance,,E,400,,300, ,, ,08/17/2006,,LAO,SERD,SEFM,Single Donor,AD,E,C,,3300,Finance,3315,Finance Sector Development,,Economic Growth,Gender Equity,Private Sector Development,,,,,,,Successful,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2006,4893,,,NEP,"Kathmandu Valley Water Distribution, Sewerage & Urban Devt Project",2nd Danish Cooperation Fund for Technical Assistance,,J,400,,400, ,, ,12/13/2006,,NEP,SARD,SAUD,Single Donor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,"Economic growth,Economic Growth","Governance,Private Sector Development","Private Sector Development,Governance",,,,,,,,,
