,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
908,2007,4381,INO,Integrated Citarum Water Resources Management Project (IWRMP),PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,250.00,SPA,,17-Sep-2007
909,2007,4629,PRC,Integrated Ecosys Mgt & Environmental Protection of the Baiyangdian Lake,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,207.00,GEF,,23-Mar-2007
910,2007,4721,PRC,Shaanxi-Qinling Mountain Integrated Ecosystem Mgt ,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,280.00,GEF,,11-Jun-2007
911,2007,4798,PNG,Demographic & Health Surveys,ADTA,E,PS,Health and Social Protection,Multilateral,Multidonor,213.52,UNICEF,,30-Aug-2007
912,2007,4819,PRC,Preparing the Energy Conservation & Resource Mgt,PPTA,E,C,Energy,Bilateral,Single Donor,320.00,Canada-Climate,,28-Sep-2007
913,2007,4862,VIE,Ho Chi Minh City Metro Rail System Project,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,200.00,PPIAF,,12-Oct-2007
914,2007,4922,PAK,Support to Governance Reforms,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,"11,500.00",UKG,,07-Mar-2007
915,2007,4933,PRC,Facility for Policy Reform & Poverty Reduction,ADTA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,65.00,PRF,,28-May-2007
916,2007,4935,PRC,Gansu Rural Clean Energy Devt Project,ADTA,E,C,Energy,Bilateral,Single Donor,800.00,Denmark-Energy 2,,01-Jun-2007
917,2007,4940,KGZ,Business Processes Reengineering & Change Mgt for Tax Admin Modernization,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,06-Apr-2007,14-Jun-2007
918,2007,4942,TIM,Infrastructure Project Mgt,ADTA,J,C,Multisector,Bilateral,Single Donor,"12,000.00",AUS,,21-Jun-2007
919,2007,4943,PAK,Cap Bldg for Institutions Related to Earthquake Reconstruction & Rehab,ADTA,E,C,Multisector,Special Fund,ADB,"2,000.00",PEqF,,27-Jun-2007
920,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,800.00,AUS,,04-Sep-2007
921,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,900.00,DEN,,04-Sep-2007
922,2007,4966,VIE,Capacity Bldg on Environmental Mgt of the Power Sector,ADTA,E,C,Energy,Bilateral,Single Donor,600.00,FRA-AFD GMS Fund,,10-Sep-2007
923,2007,4971,PRC,Songhua River Basin Water Pollution Control & Mgt Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,196.00,CFWS,,28-Sep-2007
924,2007,4972,NEP,"Improved Water Quality, Sanitation & Service Delivery in Emerging Towns Sector Devt",PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,120.00,NET-WFPF,,28-Sep-2007
925,2007,4976,VIE,Thanh Hoa City Comprehensive Socioeconomic Devt Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,SPA,,01-Oct-2007
926,2007,4978,TAJ,Implementation Support for the Private Sector Devt Strategy,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,"1,000.00",UKG,22-Nov-2007,02-Oct-2007
927,2007,4983,BAN,Supporting Good Governance Program,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,"1,000.00",DEN,,30-Oct-2007
928,2007,4985,NEP,West Seti Hydroelectric Project,PPTA,E,C,Energy,Special Fund,ADB,300.00,RCIF,,05-Nov-2007
929,2007,4989,IND,Deploying Innovative Information & Comm Tech for Supporting e-Governance in Assam,ADTA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,18-Oct-2007,15-Nov-2007
930,2007,4994,SAM,Implementing the Samoa National Energy Policy,ADTA,J,C,Energy,Bilateral,Single Donor,350.00,Second Finnish Technical Assistance Grant Fund,,21-Nov-2007
931,2007,4994,SAM,Implementing the Samoa National Energy Policy,ADTA,J,PS,Energy,Bilateral,Single Donor,900.00,AUS,,21-Nov-2007
932,2007,4999,CAM,Financial Sector Program II Implementation,ADTA,J,C,Finance,Bilateral,Single Donor,500.00,EAKPF,23-Jan-2007,06-Dec-2007
933,2007,4999,CAM,Financial Sector Program II Implementation,ADTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,450.00,FSDPF,,06-Dec-2007
934,2007,6113,REG,Making Markets Work Better for the Poor,RETA,E,PS,Public Sector Management,Bilateral,Single Donor,282.50,UKG,,11-May-2007
935,2007,6143,REG,Promoting Gender Equality and Women's Empowerment,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"1,000.00",GDCF,03-Mar-2008,02-Jan-2007
936,2007,6144,REG,Better Air Quality Mgt in Asia,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Private Sector,Multidonor,75.00,Private Sector,,26-Aug-2007
937,2007,6245,REG,Strengthening Pro-Poor Policy in the Pacific,RETA,E,C,Public Sector Management,Bilateral,Single Donor,200.00,AUS,,30-Apr-2007
938,2007,6262,REG,Enhancing the Devt Effectiveness of the GMS Economic Cooperations Program,RETA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,18-Sep-2007
939,2007,6262,REG,Enhancing the Devt Effectiveness of the GMS Economic Cooperations Program,RETA,J,C,Industry and Trade,Special Fund,ADB,450.00,RCIF,,18-Sep-2007
940,2007,6278,REG,Innovative Info & Comm Technology in Educ & Its Potential for Reducing Poverty in Asia & Pacific,RETA,E,PS,Education,Special Fund,ADB,120.00,ADBI,,30-Aug-2007
941,2007,6285,REG,Strengthening Country Safeguard Systems ,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,100.00,CFWS,,22-Feb-2007
942,2007,6293,REG,Managing the Cities in Asia,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"5,000.00",SWE,,12-Dec-2007
943,2007,6313,REG,Prevention & Control of Avian Influenza in Asia & Pacific ,RETA,E,PS,Health and Social Protection,Bilateral,Single Donor,"4,222.00",CAN,,05-Mar-2007
944,2007,6324,REG,Expansion of Subregional Coop in the Agri Sector in the GMS,RETA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,200.00,IFAD,,30-Aug-2007
