,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
0,908,2007,4381,INO,Integrated Citarum Water Resources Management Project (IWRMP),PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,250.00,SPA,,17-Sep-2007,True
1,909,2007,4629,PRC,Integrated Ecosys Mgt & Environmental Protection of the Baiyangdian Lake,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,207.00,GEF,,23-Mar-2007,True
2,910,2007,4721,PRC,Shaanxi-Qinling Mountain Integrated Ecosystem Mgt ,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,280.00,GEF,,11-Jun-2007,True
3,911,2007,4798,PNG,Demographic & Health Surveys,ADTA,E,PS,Health and Social Protection,Multilateral,Multidonor,213.52,UNICEF,,30-Aug-2007,True
4,912,2007,4819,PRC,Preparing the Energy Conservation & Resource Mgt,PPTA,E,C,Energy,Bilateral,Single Donor,320.00,Canada-Climate,,28-Sep-2007,True
5,913,2007,4862,VIE,Ho Chi Minh City Metro Rail System Project,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,200.00,PPIAF,,12-Oct-2007,True
6,914,2007,4922,PAK,Support to Governance Reforms,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,"11,500.00",UKG,,07-Mar-2007,True
7,915,2007,4933,PRC,Facility for Policy Reform & Poverty Reduction,ADTA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,65.00,PRF,,28-May-2007,True
8,916,2007,4935,PRC,Gansu Rural Clean Energy Devt Project,ADTA,E,C,Energy,Bilateral,Single Donor,800.00,Denmark-Energy 2,,01-Jun-2007,True
10,918,2007,4942,TIM,Infrastructure Project Mgt,ADTA,J,C,Multisector,Bilateral,Single Donor,"12,000.00",AUS,,21-Jun-2007,True
11,919,2007,4943,PAK,Cap Bldg for Institutions Related to Earthquake Reconstruction & Rehab,ADTA,E,C,Multisector,Special Fund,ADB,"2,000.00",PEqF,,27-Jun-2007,True
12,920,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,800.00,AUS,,04-Sep-2007,True
13,921,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,900.00,DEN,,04-Sep-2007,True
14,922,2007,4966,VIE,Capacity Bldg on Environmental Mgt of the Power Sector,ADTA,E,C,Energy,Bilateral,Single Donor,600.00,FRA-AFD GMS Fund,,10-Sep-2007,True
15,923,2007,4971,PRC,Songhua River Basin Water Pollution Control & Mgt Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,196.00,CFWS,,28-Sep-2007,True
16,924,2007,4972,NEP,"Improved Water Quality, Sanitation & Service Delivery in Emerging Towns Sector Devt",PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,120.00,NET-WFPF,,28-Sep-2007,True
